Price,preco_sp500,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2025-07-28,6389.77001953125,6401.06982421875,6375.7900390625,6397.68994140625,4565620000
2025-07-29,6370.85986328125,6409.259765625,6363.919921875,6405.6201171875,5076120000
2025-07-30,6362.89990234375,6396.5400390625,6336.3798828125,6381.22998046875,5375070000
2025-07-31,6339.39013671875,6427.02001953125,6327.64013671875,6427.02001953125,6077080000
2025-08-01,6238.009765625,6287.27978515625,6212.68994140625,6287.27978515625,5827150000
2025-08-04,6329.93994140625,6330.68994140625,6271.7099609375,6271.7099609375,4842580000
2025-08-05,6299.18994140625,6346.0,6289.3701171875,6336.6298828125,5517410000
2025-08-06,6345.06005859375,6352.830078125,6301.10986328125,6309.2998046875,5408560000
2025-08-07,6340.0,6389.7099609375,6310.31982421875,6374.31982421875,5306090000
2025-08-08,6389.4501953125,6395.16015625,6355.22021484375,6355.22021484375,4769910000
2025-08-11,6373.4501953125,6407.25,6364.06005859375,6389.669921875,4652400000
2025-08-12,6445.759765625,6446.5498046875,6385.759765625,6395.169921875,5135300000
2025-08-13,6466.580078125,6480.27978515625,6445.02001953125,6462.669921875,5195950000
2025-08-14,6468.5400390625,6473.919921875,6441.06982421875,6453.4599609375,4462050000
2025-08-15,6449.7998046875,6481.33984375,6441.85009765625,6477.3798828125,4575060000
2025-08-18,6449.14990234375,6455.35009765625,6437.7001953125,6445.02001953125,4162290000
2025-08-19,6411.3701171875,6456.47998046875,6400.22021484375,6446.240234375,4377440000
2025-08-20,6395.77978515625,6408.39990234375,6343.85986328125,6406.6201171875,4470390000
2025-08-21,6370.169921875,6393.64990234375,6352.7099609375,6380.830078125,4013560000
2025-08-22,6466.91015625,6478.89013671875,6384.58984375,6384.58984375,5046860000
2025-08-25,6439.31982421875,6466.89013671875,6438.06005859375,6457.669921875,4059070000
2025-08-26,6465.93994140625,6468.3701171875,6429.2099609375,6435.490234375,4867680000
2025-08-27,6481.39990234375,6487.06005859375,6457.83984375,6462.259765625,4143680000
2025-08-28,6501.85986328125,6508.22998046875,6466.9599609375,6483.83984375,4283760000
2025-08-29,6460.259765625,6491.759765625,6444.56982421875,6489.27978515625,4234840000
2025-09-02,6415.5400390625,6416.5400390625,6360.580078125,6401.509765625,4784000000
2025-09-03,6448.259765625,6453.669921875,6416.169921875,6445.81982421875,4465360000
2025-09-04,6502.080078125,6502.5400390625,6445.97998046875,6456.60009765625,4670770000
2025-09-05,6481.5,6532.64990234375,6443.97998046875,6529.080078125,5066120000
2025-09-08,6485.10009765625,6508.669921875,6483.2900390625,6498.08984375,1613285000
